playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
Sensual,2026-06-20,2026-06-20,US AGAINST THE WORLD,Chris Grey,US AGAINST THE WORLD,spotify:track:3aBZqqx8ghkjUooKzROEkl,chris grey - us against the world
Sensual,2026-06-20,2026-06-20,Curse,Dxvn.,Curse,spotify:track:5ZfZIEPawrZUWdsswd9Mxc,dxvn. - curse
Sensual,2026-06-20,2026-06-20,need to know,zandros,need to know,spotify:track:5Cw6hiPWth7Z5lr8qeCgDS,zandros - need to know
Sensual,2026-06-20,2026-06-20,Alive,SWIM,Alive,spotify:track:4EPyMb4VLLdaN8JA5Eg3Ys,swim - alive
Sensual,2026-06-20,2026-06-20,LOYALTY,Daniel Di Angelo,LOYALTY,spotify:track:2i5Tv2YmhhSyyKsnT5zjHR,daniel di angelo - loyalty
Sensual,2026-06-20,2026-06-20,Liability,SWIM,Liability,spotify:track:0G9mO6C83cN5IS8kWiHBjx,swim - liability
Sensual,2026-06-20,2026-06-20,The Way (feat. Chance the Rapper),Kehlani,You Should Be Here,spotify:track:6mzaCRuLTRiz1caGOum3zT,kehlani - the way (feat. chance the rapper)
Sensual,2026-06-20,2026-06-20,Better,Khalid,Suncity,spotify:track:6zeeWid2sgw4lap2jV61PZ,khalid - better
Sensual,2026-06-20,2026-06-20,Frontin & Crushin (with Arin Ray & Blackway),Joe Kay,"If Not Now, Then When?",spotify:track:5SlJKOCunYf4HIkktFBr0M,joe kay - frontin & crushin (with arin ray & blackway)
Sensual,2026-06-20,2026-06-20,I Was Never There,The Weeknd,"My Dear Melancholy,",spotify:track:1cKHdTo9u0ZymJdPGSh6nq,the weeknd - i was never there
Sensual,2026-06-20,2026-06-20,Say It,Tory Lanez,I Told You,spotify:track:2Gyc6e2cLxA5hoX1NOvYnU,tory lanez - say it
Sensual,2026-06-20,2026-06-20,Mbangu te,Ya Levis,El mayalove,spotify:track:6nB2jTxdEasmji0SqlU77Q,ya levis - mbangu te
Sensual,2026-06-20,2026-06-20,Kiss It Better,Rihanna,ANTI,spotify:track:0UHB9METy4VCXNgkcGqHqS,rihanna - kiss it better
Sensual,2026-06-20,2026-06-20,Good For You,Selena Gomez,Revival,spotify:track:5xdVqHtFS0eLuNp4Z8Wbpa,selena gomez - good for you
Sensual,2026-06-20,2026-06-20,Bad Girls Like You,Tobii,Bad Girls Like You,spotify:track:23EDUpNbiKcDwhUf9kBRo8,tobii - bad girls like you
Sensual,2026-06-20,2026-06-20,Everyday,Ariana Grande,Dangerous Woman,spotify:track:30TmLgK0ja5O8q9l4BShIX,ariana grande - everyday
Sensual,2026-06-20,2026-06-20,3:15 (Breathe),Russ,3:15 (Breathe),spotify:track:0dGqP4VickYjtIaB5VOt4H,russ - 3:15 (breathe)
Sensual,2026-06-20,2026-06-20,bb.,Naïka,TRANSITIONS EP,spotify:track:2ekwTudJEBmmscSwfCha2K,naïka - bb.
Sensual,2026-06-20,2026-06-20,Ma Chérie,Naïka,"Lost in Paradïse, Pt. 2",spotify:track:4ZXyPNr79hrUoPWNXXRhQB,naïka - ma chérie
Sensual,2026-06-20,2026-06-20,6:45,Naïka,6:45,spotify:track:6LH1KKXEw1K8UEKMK75qyz,naïka - 6:45
Sensual,2026-06-20,2026-06-20,1+1,Naïka,1+1,spotify:track:3WID8m6M9eEQ1w1k486vMc,naïka - 1+1
Sensual,2026-06-20,2026-06-20,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),spotify:track:09gysnJpfQ3ublBmJDfcEC,amaarae - sad girlz luv money remix (feat. kali uchis and moliy)
Sensual,2026-06-20,2026-06-20,west side,Ariana Grande,Positions,spotify:track:1whfVLMKWqAX3uk97VXsNN,ariana grande - west side
Sensual,2026-06-20,2026-06-20,Come Through (feat. Chris Brown),H.E.R.,Back of My Mind,spotify:track:29he0Joo5sz2607A6ZBT6H,h.e.r. - come through (feat. chris brown)
Sensual,2026-06-20,2026-06-20,OHMAMI,Chase Atlantic,BEAUTY IN DEATH,spotify:track:0HqxMCPnThJ3An1QIeIzJF,chase atlantic - ohmami
Sensual,2026-06-20,2026-06-20,MAMACITA,Chase Atlantic,MAMACITA,spotify:track:4cQAhjxynTUlhVUJN5yhUb,chase atlantic - mamacita
Sensual,2026-06-20,2026-06-20,Eyes On You,SWIM,Eyes On You,spotify:track:2ezF8mcfJ6CEkxbzgzkApX,swim - eyes on you
Sensual,2026-06-20,2026-06-20,Into You,Ariana Grande,Dangerous Woman,spotify:track:76FZM38RC8XaAjJ77CVTNe,ariana grande - into you
Sensual,2026-06-20,2026-06-20,KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji,KEHLANI (REMIX) [feat. Kehlani],spotify:track:5Nt2FMqnKI2mlp7lztURNo,jordan adetunji - kehlani (remix) [feat. kehlani]
Sensual,2026-06-20,2026-06-20,No Friendship,Daniel Di Angelo,No Friendship,spotify:track:3BmVELHoqjF7s3px9rW6WN,daniel di angelo - no friendship
Sensual,2026-06-20,2026-06-20,Tidal Wave,Chase Atlantic,Tidal Wave,spotify:track:5UFjlIK589UVrEUEVbkw1X,chase atlantic - tidal wave
Sensual,2026-06-20,2026-06-20,HEAVEN AND BACK,Chase Atlantic,PHASES,spotify:track:1JdQibdvxgcrB8Rv1KFndw,chase atlantic - heaven and back
Sensual,2026-06-20,2026-06-20,Ozone,Chase Atlantic,Chase Atlantic,spotify:track:3vd0wM0US4JSCKJi5Q8Bd6,chase atlantic - ozone
Sensual,2026-06-20,2026-06-20,PHASES,Chase Atlantic,PHASES,spotify:track:20C3wlDfoJjXO5RBpXp3py,chase atlantic - phases
Sensual,2026-06-20,2026-06-20,Mi Casa Su Casa,Omar Rudberg,Mi Casa Su Casa,spotify:track:6Aa1s7FoLXG1TdaGYvoRDs,omar rudberg - mi casa su casa
